Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
10931X11_140828_D00294_0128_BC4EV2ANXX_2	74.2561793202	49.5593908602	31380906.0	33.3333333333	47.0
10931X16_140828_D00294_0128_BC4EV2ANXX_3	68.0168859445	49.5454197561	29264457.0	33.3333333333	44.0
10931X21_140828_D00294_0128_BC4EV2ANXX_4	65.7299876527	49.5250114821	28483518.0	33.3333333333	45.0
10931X71_140909_D00294_0130_AC5LNGANXX_7	67.989328014	49.5200949836	41490106.0	33.3333333333	44.0
10931X72_140909_D00294_0130_AC5LNGANXX_7	64.3826380429	49.5250315053	35451164.0	33.3333333333	46.0
10931X82_140909_D00294_0130_AC5LNGANXX_8	67.4654612088	49.5126436264	33917326.0	41.6666666667	44.0
10931X88_140909_D00294_0130_AC5LNGANXX_8	70.52993365	49.5123055086	40927321.0	33.3333333333	46.0
11005X12_141024_D00550_0205_BC5MWJANXX_1	64.395094778	49.5144843956	41715479.0	33.3333333333	46.0
11070X3_141024_D00550_0205_BC5MWJANXX_3	67.0222768861	49.5245146471	38392272.0	33.3333333333	45.0
11943X12_151207_D00550_0309_BC8AP8ANXX_2	58.0300559425	49.5007671141	45283355.0	33.3333333333	49.0
11943X15_151210_D00294_0212_AC8B1PANXX_4	45.5602865327	49.4972199705	39939864.0	25.0	46.0
11943X23_151210_D00294_0212_AC8B1PANXX_5	52.9911687146	49.5037801048	46296203.0	33.3333333333	46.0
11943X27_151210_D00294_0212_AC8B1PANXX_6	51.1998638931	49.5094966368	39968360.0	33.3333333333	47.0
11943X28_151210_D00294_0212_AC8B1PANXX_6	43.2532789356	49.4901117345	37035565.0	25.0	45.0
11943X40_151216_D00550_0312_BC8B1RANXX_1	41.452371325	49.4792992038	36217834.0	16.6666666667	45.0
11943X41_151216_D00550_0312_BC8B1RANXX_1	43.7829113151	49.4766486709	50923868.0	16.6666666667	46.0
11943X48_151216_D00550_0312_BC8B1RANXX_2	47.8440180848	49.4790562508	46050709.0	16.6666666667	46.0
11943X4_151207_D00550_0309_BC8AP8ANXX_1	48.7444082996	49.4957686082	40709419.0	25.0	48.0
11943X54_151216_D00550_0312_BC8B1RANXX_3	49.5304652114	49.4739655388	51211200.0	25.0	44.0
11943X9_151207_D00550_0309_BC8AP8ANXX_2	53.5151528398	49.5021474844	47019433.0	33.3333333333	46.0
12115X1_160212_D00294_0220_BC8C13ANXX_1	41.9909827311	49.4963044812	33953149.0	25.0	47.0
12115X3_160212_D00294_0220_BC8C13ANXX_1	45.0400979666	49.5039439844	37160771.0	25.0	46.0
12115X4_160212_D00294_0220_BC8C13ANXX_1	46.6384328471	49.5044249449	39691342.0	25.0	46.0
12115X5_160212_D00294_0220_BC8C13ANXX_1	48.9575149237	49.5112235305	40403864.0	25.0	46.0
12115X6_160212_D00294_0220_BC8C13ANXX_1	46.3103364404	49.5064005553	39614141.0	25.0	46.0
13584X1_160805_D00550_0368_BC9DUGANXX_8	48.5312001442	49.5116160225	41161895.0	16.6666666667	46.0
13584X2_160805_D00550_0368_BC9DUGANXX_8	49.6025171244	49.5135403724	37935958.0	16.6666666667	47.0
13584X6_160805_D00550_0368_BC9DUGANXX_8	48.4254890347	49.5098456455	39389647.0	16.6666666667	46.0
